StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Which category includes your age,How much total combined money did all members of your household earn last year?,How many dependents do you have?,Would you purchase products again within the next year?,I trust AI to help me make informed purchase decisions.,I trust AI to use my purchase data to help me shop faster.,I would rather wait to talk to a real human over an AI chat bot.,AI tools (I.E chatbots) solve my customer service issues efficiently.,I will purchase something on this site again in the near future.,I am willing to share only necessary business/shopping data (consumer habits).,AI benefits me as a customer.,AI makes repeating purchases convenient.
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}"
2023-11-03 15:53:41,2023-11-03 15:53:50,Survey Preview,*******,100,8,True,2023-11-03 15:53:51,R_1Nw7g2WMdSreycV,*******,*******,*******,*******,*******,*******,preview,EN,,,,,,,,,,,,
2023-11-22 12:38:57,2023-11-22 12:38:57,Survey Test,*******,100,0,True,2023-11-22 12:38:57,R_3VooXw7NssLHR3M,*******,*******,*******,*******,*******,*******,test,,18-20,"$90,000 - $109,000",3,No,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly Disagree,Strongly Disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree
2023-11-22 12:38:57,2023-11-22 12:38:57,Survey Test,*******,100,0,True,2023-11-22 12:38:57,R_25DNldKcmHWRz2S,*******,*******,*******,*******,*******,*******,test,,50-59,"$110,000 or more",2,Yes,Somewhat disagree,Strongly Disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree
2023-11-22 12:38:57,2023-11-22 12:38:57,Survey Test,*******,100,0,True,2023-11-22 12:38:57,R_4MzGq4JoJtuslyC,*******,*******,*******,*******,*******,*******,test,,21-29,"$0 - $9,999",1,No,Strongly Disagree,Strongly Disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly Disagree,Strongly agree,Somewhat agree
2023-11-22 12:38:58,2023-11-22 12:38:58,Survey Test,*******,100,0,True,2023-11-22 12:38:58,R_9GpPGvqSV460b4i,*******,*******,*******,*******,*******,*******,test,,50-59,"$0 - $9,999",1,Yes,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree
2023-11-22 12:38:58,2023-11-22 12:38:58,Survey Test,*******,100,0,True,2023-11-22 12:38:58,R_0c6ggIVQWPr6j5Q,*******,*******,*******,*******,*******,*******,test,,40-49,"$0 - $9,999",2,No,Strongly Disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly Disagree,Somewhat disagree
2023-11-22 12:38:58,2023-11-22 12:38:58,Survey Test,*******,100,0,True,2023-11-22 12:38:58,R_6hQM0ZE5RQgaJ2S,*******,*******,*******,*******,*******,*******,test,,18-20,"$50,000 - $69,000",1,Yes,Somewhat agree,Strongly Disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly agree,Neither agree nor disagree
2023-11-22 12:38:58,2023-11-22 12:38:58,Survey Test,*******,100,0,True,2023-11-22 12:38:58,R_3TU0pPcMiHu7mtM,*******,*******,*******,*******,*******,*******,test,,21-29,"$70,000 - $89,000",1,Yes,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree
2023-11-22 12:38:58,2023-11-22 12:38:58,Survey Test,*******,100,0,True,2023-11-22 12:38:58,R_7Op0gkIhFm0JWV8,*******,*******,*******,*******,*******,*******,test,,40-49,"$70,000 - $89,000",3,No,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat disagree
2023-11-22 12:38:59,2023-11-22 12:38:59,Survey Test,*******,100,0,True,2023-11-22 12:38:59,R_8v8PxmpW5pINe3c,*******,*******,*******,*******,*******,*******,test,,18-20,"$30,000 - $49,000",1,Yes,Strongly agree,Neither agree nor disagree,Strongly Disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly Disagree,Somewhat disagree
2023-11-22 12:38:59,2023-11-22 12:38:59,Survey Test,*******,100,0,True,2023-11-22 12:38:59,R_bC44lgYnNWC4r0G,*******,*******,*******,*******,*******,*******,test,,21-29,"$0 - $9,999",2,No,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Strongly agree,Strongly Disagree,Neither agree nor disagree,Somewhat agree,Strongly Disagree
2023-11-22 12:38:59,2023-11-22 12:38:59,Survey Test,*******,100,0,True,2023-11-22 12:38:59,R_887LFyoWzWVQw9U,*******,*******,*******,*******,*******,*******,test,,60 or older,"$50,000 - $69,000",4 or more,No,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly Disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly Disagree
2023-11-22 12:38:59,2023-11-22 12:38:59,Survey Test,*******,100,0,True,2023-11-22 12:38:59,R_cI6lLDCrkUGPdLU,*******,*******,*******,*******,*******,*******,test,,30-39,"$30,000 - $49,000",2,No,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly Disagree,Strongly Disagree,Somewhat agree,Somewhat disagree,Somewhat disagree
2023-11-22 12:38:59,2023-11-22 12:38:59,Survey Test,*******,100,0,True,2023-11-22 12:39:00,R_54HtaIUCs4G631s,*******,*******,*******,*******,*******,*******,test,,30-39,"$50,000 - $69,000",None,No,Strongly Disagree,Strongly agree,Somewhat disagree,Strongly Disagree,Strongly Disagree,Somewhat agree,Somewhat agree,Somewhat disagree
2023-11-22 12:39:00,2023-11-22 12:39:00,Survey Test,*******,100,0,True,2023-11-22 12:39:00,R_9yG0HZVB0yL294q,*******,*******,*******,*******,*******,*******,test,,60 or older,"$70,000 - $89,000",1,Yes,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly Disagree,Strongly agree,Somewhat agree
2023-11-22 12:39:00,2023-11-22 12:39:00,Survey Test,*******,100,0,True,2023-11-22 12:39:00,R_71wPUQuvSH4AKk6,*******,*******,*******,*******,*******,*******,test,,50-59,"$110,000 or more",2,No,Strongly agree,Strongly Disagree,Neither agree nor disagree,Strongly agree,Strongly Disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree
2023-11-22 12:39:00,2023-11-22 12:39:00,Survey Test,*******,100,0,True,2023-11-22 12:39:00,R_7ODV4eUvAdeMRGm,*******,*******,*******,*******,*******,*******,test,,40-49,"$90,000 - $109,000",1,Yes,Strongly agree,Strongly Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly Disagree,Neither agree nor disagree,Strongly agree
2023-11-22 12:39:01,2023-11-22 12:39:01,Survey Test,*******,100,0,True,2023-11-22 12:39:01,R_1yO9cx4TJrdFy7Q,*******,*******,*******,*******,*******,*******,test,,60 or older,"$110,000 or more",2,No,Strongly Disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly Disagree,Somewhat disagree
2023-11-22 12:39:01,2023-11-22 12:39:01,Survey Test,*******,100,0,True,2023-11-22 12:39:01,R_0OsQK9scbWm0you,*******,*******,*******,*******,*******,*******,test,,60 or older,"$70,000 - $89,000",4 or more,Yes,Somewhat disagree,Neither agree nor disagree,Strongly Disagree,Strongly Disagree,Somewhat agree,Strongly Disagree,Somewhat agree,Neither agree nor disagree
2023-11-22 12:39:01,2023-11-22 12:39:01,Survey Test,*******,100,0,True,2023-11-22 12:39:01,R_4ZRYHFFHLlwTt8a,*******,*******,*******,*******,*******,*******,test,,18-20,"$50,000 - $69,000",3,No,Neither agree nor disagree,Somewhat agree,Strongly Disagree,Strongly Disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly Disagree
2023-11-22 12:39:01,2023-11-22 12:39:01,Survey Test,*******,100,0,True,2023-11-22 12:39:01,R_0TFRxJGAOSa6T5k,*******,*******,*******,*******,*******,*******,test,,21-29,"$110,000 or more",2,No,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly Disagree,Strongly Disagree,Somewhat agree,Strongly Disagree
2023-11-22 12:39:02,2023-11-22 12:39:02,Survey Test,*******,100,0,True,2023-11-22 12:39:02,R_egSbopcUnNgQVyS,*******,*******,*******,*******,*******,*******,test,,21-29,"$90,000 - $109,000",3,Yes,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly Disagree,Neither agree nor disagree,Somewhat disagree
2023-11-22 12:39:02,2023-11-22 12:39:02,Survey Test,*******,100,0,True,2023-11-22 12:39:02,R_b8HzdimCg8Eipx4,*******,*******,*******,*******,*******,*******,test,,50-59,"$30,000 - $49,000",4 or more,No,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree
2023-11-22 12:39:02,2023-11-22 12:39:02,Survey Test,*******,100,0,True,2023-11-22 12:39:02,R_dnUDUwvwliWFuey,*******,*******,*******,*******,*******,*******,test,,60 or older,"$50,000 - $69,000",3,Yes,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree
2023-11-22 12:39:02,2023-11-22 12:39:02,Survey Test,*******,100,0,True,2023-11-22 12:39:02,R_74fSyIPoG7myNaS,*******,*******,*******,*******,*******,*******,test,,17 or younger,"$70,000 - $89,000",1,No,Strongly agree,Somewhat disagree,Strongly Disagree,Somewhat disagree,Strongly Disagree,Somewhat agree,Neither agree nor disagree,Strongly agree
2023-11-22 12:39:03,2023-11-22 12:39:03,Survey Test,*******,100,0,True,2023-11-22 12:39:03,R_bmyD5rxhNUBBclE,*******,*******,*******,*******,*******,*******,test,,40-49,"$30,000 - $49,000",3,Yes,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly Disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree
