,Age Ranges,Income,AI Trust Score
1,1,7,24
2,3,2,25
3,7,2,23
4,4,3,33
5,7,6,25
6,6,6,19
7,4,6,30
8,3,7,19
9,2,1,25
10,6,7,25
11,2,5,20
12,2,6,28
13,1,1,21
14,7,2,27
15,1,1,22
16,5,4,25
17,2,2,28
18,6,6,24
19,1,2,23
20,4,3,25
21,7,5,26
22,5,4,27
23,1,6,21
24,5,4,20
25,6,2,22
26,5,5,21
27,7,1,23
28,1,1,20
29,5,6,23
30,7,1,23
31,5,1,27
32,5,5,26
33,4,2,19
34,2,7,31
35,2,4,22
36,7,2,27
37,2,7,25
38,4,5,20
39,4,5,20
40,6,1,29
41,1,1,18
42,5,4,21
43,6,1,24
44,2,7,25
45,6,2,24
46,5,2,29
47,7,7,18
48,1,5,20
49,1,1,22
50,5,7,18
51,4,6,26
52,4,3,25
53,5,4,26
54,6,3,24
55,6,2,21
56,1,6,25
57,7,7,28
58,7,1,20
59,5,3,22
60,7,5,21
61,6,3,21
62,7,5,31
63,5,7,25
64,5,6,21
65,5,4,22
66,5,1,30
67,6,7,24
68,6,2,21
69,3,2,23
70,5,1,27
71,4,6,25
72,2,7,28
73,4,6,19
74,1,1,27
75,6,5,29
76,5,2,19
77,1,1,19
78,3,3,25
79,7,4,31
80,2,5,26
81,3,2,20
82,7,6,25
83,1,6,22
84,6,2,22
85,3,5,20
86,5,4,24
87,3,5,24
88,4,2,28
89,6,7,27
90,6,1,16
91,1,5,25
92,6,5,26
93,5,2,25
94,2,2,25
95,4,7,25
96,7,4,26
97,6,2,22
98,7,4,22
99,7,5,20
100,2,2,26
101,5,6,28
102,2,2,25
103,7,2,25
104,3,3,23
105,1,7,27
106,7,4,20
107,7,3,33
108,6,1,21
109,7,2,15
110,2,5,26
111,5,5,28
112,5,3,24
113,5,6,32
114,7,7,25
115,6,2,29
116,5,4,23
117,4,7,20
118,4,4,27
119,7,7,23
120,2,2,24
121,6,2,26
122,1,6,26
123,5,3,26
124,1,1,23
125,4,4,20
126,3,4,28
127,6,6,25
128,6,2,23
129,1,2,31
130,7,2,17
131,1,1,24
132,1,1,19
133,4,7,22
