ResponseId,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13_1
Response ID,Which category includes your age,How much total combined money did all members of your household earn last year?,How many dependents do you have?,Would you purchase products again within the next year?,I trust AI to help me make informed purchase decisions.,I trust AI to use my purchase data to help me shop faster.,I would rather wait to talk to a real human over an AI chat bot.,AI tools (I.E chatbots) solve my customer service issues efficiently.,I will purchase something on this site again in the near future.,I am willing to share only necessary business/shopping data (consumer habits).,AI benefits me as a customer.,AI makes repeating purchases convenient.,How much did you spend on our products recently? - Amount Spent
"{""ImportId"":""_recordId""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13_1""}"
R_1N3DPujKTQkfB78,30-39,"$0 - $9,999",2,No,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Somewhat agree,Strongly Disagree,Strongly Disagree,Strongly agree,1320
R_6syddYFXXoo59eS,17 or younger,"$110,000 or more",2,Yes,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly Disagree,Somewhat agree,Neither agree nor disagree,60
R_dgmioP3JvmUcNNk,21-29,"$10,000 - $29,000",None,Yes,Neither agree nor disagree,Strongly agree,Strongly Disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,900
R_3VKk9ZR4wPdIDrw,60 or older,"$10,000 - $29,000",3,No,Somewhat disagree,Strongly Disagree,Somewhat agree,Strongly Disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,1260
R_cMg4kVZ2wG5jUx0,30-39,"$30,000 - $49,000",2,Yes,Somewhat agree,Strongly Disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,1320
R_cSHnKd7xtyxfW5w,60 or older,"$90,000 - $109,000",2,No,Somewhat disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly Disagree,Strongly agree,0
R_08scWtxY8agM44e,50-59,"$90,000 - $109,000",None,Yes,Strongly Disagree,Strongly Disagree,Somewhat agree,Neither agree nor disagree,Strongly Disagree,Somewhat disagree,Somewhat disagree,Strongly agree,260
R_9ZgfgTDJpNLqx0i,30-39,"$90,000 - $109,000",1,No,Strongly agree,Strongly Disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,1100
R_6mUunrYbSWfVjO6,21-29,"$110,000 or more",None,Yes,Neither agree nor disagree,Somewhat disagree,Strongly Disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,440
R_80uO815LNZ6VTYW,18-20,"$0 - $9,999",None,Yes,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Strongly Disagree,Somewhat disagree,200
R_czH5QvmNKN3qzau,50-59,"$110,000 or more",1,Yes,Strongly Disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,960
R_aWY8t574Zr0dOFE,18-20,"$70,000 - $89,000",1,No,Strongly Disagree,Somewhat disagree,Neither agree nor disagree,Strongly Disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,20
R_0SQMZ7XSwF9ZGlg,18-20,"$90,000 - $109,000",None,No,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly Disagree,Strongly agree,1740
R_2mkUoY1kTKFyiDs,17 or younger,"$0 - $9,999",4 or more,Yes,Somewhat disagree,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly Disagree,Somewhat disagree,1240
R_eRs3cxgixH3MVN4,60 or older,"$10,000 - $29,000",1,No,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,560
R_cSWsWHhpz661pl4,17 or younger,"$0 - $9,999",1,Yes,Strongly Disagree,Neither agree nor disagree,Somewhat agree,Strongly Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly Disagree,1700
R_6EF5snSGw4noUGq,40-49,"$50,000 - $69,000",3,Yes,Strongly agree,Strongly agree,Strongly Disagree,Somewhat disagree,Somewhat agree,Strongly Disagree,Somewhat agree,Neither agree nor disagree,580
R_87zOfWKBuUVhXXo,18-20,"$10,000 - $29,000",4 or more,Yes,Somewhat agree,Strongly agree,Somewhat agree,Strongly Disagree,Somewhat disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,160
R_9yq0TrouyIfIer4,50-59,"$90,000 - $109,000",None,No,Somewhat disagree,Neither agree nor disagree,Strongly Disagree,Strongly Disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,1840
