,ResponseId,Q1,Q2,Q3,Q4,AI Trust Score
1,R_3VooXw7NssLHR3M,2,"$90,000 - $109,000",3,No,19
2,R_25DNldKcmHWRz2S,6,"$110,000 or more",2,Yes,24
3,R_4MzGq4JoJtuslyC,3,"$0 - $9,999",1,No,25
4,R_9GpPGvqSV460b4i,6,"$0 - $9,999",1,Yes,21
5,R_0c6ggIVQWPr6j5Q,5,"$0 - $9,999",2,No,25
6,R_6hQM0ZE5RQgaJ2S,2,"$50,000 - $69,000",1,Yes,27
7,R_3TU0pPcMiHu7mtM,3,"$70,000 - $89,000",1,Yes,21
8,R_7Op0gkIhFm0JWV8,5,"$70,000 - $89,000",3,No,27
9,R_8v8PxmpW5pINe3c,2,"$30,000 - $49,000",1,Yes,22
10,R_bC44lgYnNWC4r0G,3,"$0 - $9,999",2,No,21
11,R_887LFyoWzWVQw9U,7,"$50,000 - $69,000",4 or more,No,20
12,R_cI6lLDCrkUGPdLU,4,"$30,000 - $49,000",2,No,19
13,R_54HtaIUCs4G631s,4,"$50,000 - $69,000",None,No,20
14,R_9yG0HZVB0yL294q,7,"$70,000 - $89,000",1,Yes,28
15,R_71wPUQuvSH4AKk6,6,"$110,000 or more",2,No,25
16,R_7ODV4eUvAdeMRGm,5,"$90,000 - $109,000",1,Yes,30
17,R_1yO9cx4TJrdFy7Q,7,"$110,000 or more",2,No,23
18,R_0OsQK9scbWm0you,7,"$70,000 - $89,000",4 or more,Yes,19
19,R_4ZRYHFFHLlwTt8a,2,"$50,000 - $69,000",3,No,20
20,R_0TFRxJGAOSa6T5k,3,"$110,000 or more",2,No,20
21,R_egSbopcUnNgQVyS,3,"$90,000 - $109,000",3,Yes,21
22,R_b8HzdimCg8Eipx4,6,"$30,000 - $49,000",4 or more,No,28
23,R_dnUDUwvwliWFuey,7,"$50,000 - $69,000",3,Yes,26
24,R_74fSyIPoG7myNaS,1,"$70,000 - $89,000",1,No,23
25,R_bmyD5rxhNUBBclE,5,"$30,000 - $49,000",3,Yes,24
26,R_ePXhEnI9BMWhpcO,5,"$90,000 - $109,000",3,No,28
27,R_eQK0W8ltE75fXsG,3,"$90,000 - $109,000",4 or more,Yes,29
28,R_cJdfCdFdvv4ekse,6,"$10,000 - $29,000",3,No,23
29,R_7TYBYXOWqZeDoXA,6,"$0 - $9,999",4 or more,Yes,33
30,R_6mSWubWGY6hEBQq,2,"$50,000 - $69,000",None,No,24
31,R_e2uyw9RPk2VxqK2,6,"$30,000 - $49,000",4 or more,Yes,22
32,R_9BLvRhjJaDtbwGi,2,"$10,000 - $29,000",3,Yes,22
